start	end	text
0	3000	大家把新项目创建一下
3000	5000	并倒入硬币素材
31000	36000	设置好没有
36000	37000	设置好之后
37000	40000	之前我们的硬币素材是怎么做的
40000	44000	是不是通过各自的磨板匹配去匹配当中硬币的内容呀
44000	49000	在这里我觉得单个磨板匹配太麻烦了
49000	53000	在这里咱们除了单个磨板匹配之外
53000	58000	还有另外一个工具叫做多磨板匹配工具
59000	61000	多磨板匹配工具
61000	64000	那么在这里这个工具叫做多磨板匹配工具
64000	66000	那大家应该能猜到
66000	69000	这个多磨板匹配工具的作用是啥了吧
69000	72000	我们的普通的磨板匹配
72000	74000	是不是只能训练一个磨板
74000	75000	那这个多磨板呢
75000	78000	是不是可以训练多个磨板来去做匹配
78000	81000	那这个多磨板匹配工具在哪里
81000	83000	在磨板匹配工具的上边啊
84000	86000	mult2
88000	90000	或者说mult2啊mult2都可以
90000	93000	然后这个就是我们要用的这个
95000	97000	多磨板匹配工具了
100000	103000	那么把这个多磨板匹配工具创建好之后
103000	104000	进入该工具
104000	107000	教大家如何去使用
107000	109000	这个多磨板匹配工具啊
114000	115000	嗯
119000	121000	这个工具拖着好没有
122000	123000	进入这工具没有
124000	126000	进入该工具之后一看
126000	127000	我得乖乖
127000	130000	这前头是英格雷士啊
131000	132000	这个能看懂不
133000	134000	是不是看不懂啊
134000	137000	在这里啊你不需要全部看懂
137000	140000	在这里啊我们只需要把步骤
140000	142000	给学会就可以了
142000	145000	那么在这里啊如何使用多磨板
145000	147000	那么原本我们是不是得用
147000	150000	三个普通的磨板匹配去匹配这三个硬币啊
150000	152000	那么一个多磨板
152000	154000	是不是就可以把这三个硬币都能匹配到
154000	156000	那么怎么匹配
156000	158000	在这里首先你的主体界面
158000	159000	是不是一个表格啊
159000	161000	表格左上角是不是有个新增
161000	162000	点
163000	165000	叫做add pattern
165000	167000	加入一个磨板
167000	169000	那么加入一个磨板
169000	171000	你的这个磨板是不是就加进来了
171000	174000	加进来之后那你这个磨板训练谁啊
175000	178000	在这里双击这里的edit图标
179000	183000	会进入到你这个磨板的磨板匹配界面
185000	186000	能看懂不
186000	189000	双击你的这个edit这个图标
189000	191000	那它是不是就进入我们的这个pattern
191000	193000	一的这个磨板匹配界面了
193000	196000	那么进入这个界面磨板匹配操作
197000	198000	还记得吧
198000	199000	自己操作吧
200000	202000	训练图像
206000	209000	然后还可以演摩啊还可以演摩
230000	231000	好
250000	251000	那么演摩完毕
251000	253000	再次重新训练
253000	255000	然后关闭即可
255000	257000	或者你运行一下关闭即可
257000	257760	关闭即可
258280	260320	在这里的话大家会发现
260580	264160	咱们这里的多模板匹配当中的单个模板匹配
264420	265960	是不是只能设置你的模板
266720	269280	至于这里的训练参数是不是就没有
269540	272880	在这里啊你就不用调他了啊你直接训练好就可以了
273140	274160	训练好关闭
276720	277480	那么这样子
277740	278500	你的模板
278760	279780	是不是就有了啊
280040	281060	是不是啊
281320	284140	那这里的pattern一匹配的是不是就是我们的一员
284640	286440	那如果我想匹配五角勒
286640	287980	你再新增一个模板
288480	290020	再双击这里的一套
290540	292080	然后匹配你的五角吧
316440	335380	在这里啊大家通过这里的天蕉模板
335640	337680	把一员五角一角
337940	338720	都训练一下
376440	381820	把一员五角一角都匹配进去
386940	389240	那么这样子零一二
389500	393340	一员五角一角是不是就都在这个表格当中训练好了啊
394100	394880	是不是啊
395640	396660	是不是都训练好了啊
397180	398700	然后训练好你看前面
398960	401520	twin的就是训练没有训练的意思啊
401780	403320	前面是不是都打出对号了
403580	405620	这就说明你那个模板的用啊
406080	406600	看到没有
407880	408400	看到没有
409160	410700	哎可以用的
411460	414540	那么你把这三个模板训练好之后
414800	416320	那么你是不是该用它了
417100	417600	是不是啊
417860	418120	嗯
418120	419140	但是能直接用吗
420420	422980	在这里啊最后一个表格是还赶个差勒
423740	425540	在最后一个上面叫做
425800	426300	绕
427840	428360	表示
428620	430400	你的模板训练是训练好了
430660	431680	但是要不要用
431940	433220	是不是没有人是不让的
433940	436760	那如果你把这三个模板都训练好了
437020	439060	我要用这三个模板该怎么办
439520	440600	点击这一张
441100	443160	multi-twin就可以啊
444440	446740	点击下边的multi-twin
447500	448020	点
448540	449300	那么你看
449820	450580	表格
450840	451860	最后一列的
452120	453140	wrong label
453400	454940	是不是也打上对号了
455700	457240	那么把这三个模板
457500	459020	都打上对号之后
459540	462860	来切换到multi-paras这边
463420	466500	那么左边是不是就你刚刚训练好的这三个模板
466760	468540	给它全部都移到右边
469060	470100	我们要使用它了
470600	473160	移动到右边然后你可以设置设置
473660	475720	这里的运行参数
475980	477000	比如说盖数
477260	478280	我设置设置
478780	481860	接受预值旋转角我都可以设置了
483140	485440	那么在这里啊问大家一个问题啊
485700	487480	咱们这里的运行参数
487740	489280	无论是这里的盖数预值
489540	490820	还是这里的角度
491080	491580	那么
491880	494860	这里的运行参数这里设置的预值盖数
495120	496600	设置的是谁的
498200	498700	参数啊
500240	501520	设置的是他们
501760	503000	当中的一个
503260	505880	还是说设置的是他们所有的
507160	511500	在这里啊设置的是这三个模板匹配当中的所有的参数
511760	514820	也就是说你这里的查找盖数10个比较啥
515080	517900	一角五角一元总共数量
518420	519960	大致10个就可以了
520200	520720	听懂没有
521440	524000	那么这样子我们就可以点击运行了
524260	526060	运行之后查看结果
526300	528100	效果是不是就出来了
528860	529500	看到没有
530140	532460	这就是多模板匹配结果
533460	534100	看到没有
534860	536540	这就是多模板匹配结果
536800	538600	这就是他的使用方式了
539100	541660	这个大家自己去做一做啊
542420	543700	打开Visual Studio啊
543960	545500	把这个工具记录一下
551700	553220	叫做Cog
555020	555820	PM
557220	558020	L
562100	562900	Multi
564220	564700	Tool
565900	570020	它叫做多模板匹配工具
570820	572380	作用就是
573300	575460	将相同的
576380	577140	或者说
577680	581080	或者说训练不同的
582240	582840	模板
583880	586080	来寻找目标
588640	591440	训练不同的模板来寻找目标
592520	593880	你看普通的模板匹配
593880	595720	是不是只能训练一张图呀
596440	597120	是不是
597440	598720	那都模板匹配了
599320	601040	可以匹配多张图像
601520	603000	你训练多个图像
603000	604480	然后去匹配目标就可以了
605260	607460	适合
608460	612020	同一个目标多角度的匹配
616620	618620	我要匹配一辆宝马
619220	622620	那么我光拍一辆正面的宝马车
622980	625020	它匹配正面还是可以匹配的
625220	626620	如果我给它一个侧面的
626620	627820	宝马车的照片
628060	629260	那普通的模板匹配
629260	630420	是不是就匹配不到了
631260	632020	所以说啊
632020	634380	如果在这里用了多模板匹配工具
634660	637460	你就可以对同一个目标的不同形态
637660	638660	去做匹配
638660	639660	去做训练
639820	641060	然后运行
641380	642780	目标怎么出现
642780	644460	你就怎么匹配就可以了
644460	645460	听到没有
645860	646660	听到没有
647180	650060	这就是多模板匹配的工具子作用了
665020	667460	然后把这个内容记完之后
667460	670460	我给大家发一个新素材
680460	682460	然后把这个内容记完之后
682460	685460	我给大家发一个新素材
694480	694980	盖大一个新素材给获取一下
716460	718100	大家要把一个新素材
718100	719360	给获取一下
724480	726380	哈
750480	753160	大家把这个鐸木板匹配工具禁完没 Hon
753160	755160	计完了吧
755160	756160	计完之后
756160	757160	那么接下来
757160	759160	咱们讲一讲标定版
764160	767160	那么依旧是创建一个新的项目
772160	775160	然后随便导入一张测量的素材
775160	777160	比如说我导入
778160	781160	先把这里的标定版的素材导入进去吧
783160	786160	大家可以看一看老师给大家发的标定版素材
786160	787160	长什么样
801160	803160	大家创建一个新项目
803160	806160	把刚刚老师给大家发的标定版素材导入进去
814160	815160	那么在这里
815160	819160	咱们讲一讲什么是标定
819160	821160	标定版标定
821160	823160	什么是标定版标定
823160	826160	咱们之前就是提过一遍
826160	829160	在咱们做测量的过程中
829160	832160	我们测出来的所有的结果的单位
832160	834160	是不是都是相处格
834160	837160	我们测出来的单位都是相处格
837160	840160	那么在实际的生产检测过程中
840160	843160	我们测出来的是不是直接就是毫米
844160	848160	那么我们该怎么去直接测出来真实的尺寸
848160	849160	那么在这里
849160	853160	它就需要用到这里的标定版进去标定
853160	857160	标定版标定的最主要的作用是什么
857160	861160	就是建立一套类似于地图彼此的东西
861160	866160	图中一小格表示实际的多少毫米
866160	868160	那么它在图中做标定的时候
868160	870160	是不是它一小格表示两毫米的话
870160	873160	它这一小格多少相处它是不是能匹配出来
873160	875160	它这么能识别出来
875160	876160	是不是
876160	879160	做完标定版标定之后
879160	882160	那么它就会建立一套笔地尺
882160	886160	图中这么多这么多相处表示实际的
886160	888160	1毫米或者2毫米
888160	890160	然后它建立好这个笔地尺之后
890160	892160	你再去测测测量的目标的话
892160	895160	那么目标的实际距离是不是就测出来
895160	896160	是不是
896160	899160	那么标定版标定的最重要的作用
899160	902160	就是建立这里的笔地尺
902160	904160	知道没有
904160	905160	知道没有
905160	907160	如果不做标定版标记的话
907160	909160	它测出来的结果
909160	914160	用像素来采用结果
914160	915160	用了标定版标定
915160	918160	那么它测出来的就是真实的指导
918160	919160	知道没有
919160	922160	那么这个标定版一般在什么手区用
922160	923160	在生产品测过程中
923160	926160	我们是不是先搭建整个机器
926160	930160	把机器买过来安装这里的相机
930160	932160	相机光源调好之后
932160	934160	一拍拍的目标很清晰
934160	937160	ok 相机就标好了
